Id,SLCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,location,Cube_of_SepalWidthCm
1,5.1,3.5,1,0.2,Iris-setosa,Pune,42.875
2,4.9,3.0,1,0.2,Iris-setosa,Pune,27.0
3,4.7,3.2,1,0.2,Iris-setosa,Pune,32.76800000000001
4,4.6,3.1,1,0.2,Iris-setosa,Pune,29.791000000000004
5,5.0,3.6,1,0.2,Iris-setosa,Pune,46.656000000000006
6,5.4,3.9,1,0.4,Iris-setosa,Pune,59.318999999999996
7,4.6,3.4,1,0.3,Iris-setosa,Pune,39.303999999999995
8,5.0,3.4,1,0.2,Iris-setosa,Pune,39.303999999999995
9,4.4,2.9,1,0.2,Iris-setosa,Pune,24.389
10,4.9,3.1,1,0.1,Iris-setosa,Pune,29.791000000000004
11,5.4,3.7,1,0.2,Iris-setosa,Pune,50.653000000000006
12,4.8,3.4,1,0.2,Iris-setosa,Pune,39.303999999999995
13,4.8,3.0,1,0.1,Iris-setosa,Pune,27.0
14,4.3,3.0,1,0.1,Iris-setosa,Pune,27.0
15,5.8,4.0,1,0.2,Iris-setosa,Pune,64.0
16,5.7,4.4,1,0.4,Iris-setosa,Pune,85.18400000000003
17,5.4,3.9,1,0.4,Iris-setosa,Pune,59.318999999999996
18,5.1,3.5,1,0.3,Iris-setosa,Pune,42.875
19,5.7,3.8,1,0.3,Iris-setosa,Pune,54.87199999999999
20,5.1,3.8,1,0.3,Iris-setosa,Pune,54.87199999999999
21,5.4,3.4,1,0.2,Iris-setosa,Pune,39.303999999999995
22,5.1,3.7,1,0.4,Iris-setosa,Pune,50.653000000000006
23,4.6,3.6,1,0.2,Iris-setosa,Pune,46.656000000000006
24,5.1,3.3,1,0.5,Iris-setosa,Pune,35.937
25,4.8,3.4,1,0.2,Iris-setosa,Pune,39.303999999999995
26,5.0,3.0,1,0.2,Iris-setosa,Pune,27.0
27,5.0,3.4,1,0.4,Iris-setosa,Pune,39.303999999999995
28,5.2,3.5,1,0.2,Iris-setosa,Pune,42.875
29,5.2,3.4,1,0.2,Iris-setosa,Pune,39.303999999999995
30,4.7,3.2,1,0.2,Iris-setosa,Pune,32.76800000000001
31,4.8,3.1,1,0.2,Iris-setosa,Pune,29.791000000000004
32,5.4,3.4,1,0.4,Iris-setosa,Pune,39.303999999999995
33,5.2,4.1,1,0.1,Iris-setosa,Pune,68.92099999999998
34,5.5,4.2,1,0.2,Iris-setosa,Pune,74.08800000000001
35,4.9,3.1,1,0.1,Iris-setosa,Pune,29.791000000000004
36,5.0,3.2,1,0.2,Iris-setosa,Pune,32.76800000000001
37,5.5,3.5,1,0.2,Iris-setosa,Pune,42.875
38,4.9,3.1,1,0.1,Iris-setosa,Pune,29.791000000000004
39,4.4,3.0,1,0.2,Iris-setosa,Pune,27.0
40,5.1,3.4,1,0.2,Iris-setosa,Pune,39.303999999999995
41,5.0,3.5,1,0.3,Iris-setosa,Pune,42.875
42,4.5,2.3,1,0.3,Iris-setosa,Pune,12.166999999999998
43,4.4,3.2,1,0.2,Iris-setosa,Pune,32.76800000000001
44,5.0,3.5,1,0.6,Iris-setosa,Pune,42.875
45,5.1,3.8,1,0.4,Iris-setosa,Pune,54.87199999999999
46,4.8,3.0,1,0.3,Iris-setosa,Pune,27.0
47,5.1,3.8,1,0.2,Iris-setosa,Pune,54.87199999999999
48,4.6,3.2,1,0.2,Iris-setosa,Pune,32.76800000000001
49,5.3,3.7,1,0.2,Iris-setosa,Pune,50.653000000000006
50,5.0,3.3,1,0.2,Iris-setosa,Pune,35.937
51,7.0,3.2,4,1.4,Iris-versicolor,Pune,32.76800000000001
52,6.4,3.2,4,1.5,Iris-versicolor,Pune,32.76800000000001
53,6.9,3.1,4,1.5,Iris-versicolor,Pune,29.791000000000004
54,5.5,2.3,4,1.3,Iris-versicolor,Pune,12.166999999999998
55,6.5,2.8,4,1.5,Iris-versicolor,Pune,21.951999999999995
56,5.7,2.8,4,1.3,Iris-versicolor,Pune,21.951999999999995
57,6.3,3.3,4,1.6,Iris-versicolor,Pune,35.937
58,4.9,2.4,3,1.0,Iris-versicolor,Pune,13.823999999999998
59,6.6,2.9,4,1.3,Iris-versicolor,Pune,24.389
60,5.2,2.7,3,1.4,Iris-versicolor,Pune,19.683000000000003
61,5.0,2.0,3,1.0,Iris-versicolor,Pune,8.0
62,5.9,3.0,4,1.5,Iris-versicolor,Pune,27.0
63,6.0,2.2,4,1.0,Iris-versicolor,Pune,10.648000000000003
64,6.1,2.9,4,1.4,Iris-versicolor,Pune,24.389
65,5.6,2.9,3,1.3,Iris-versicolor,Pune,24.389
66,6.7,3.1,4,1.4,Iris-versicolor,Pune,29.791000000000004
67,5.6,3.0,4,1.5,Iris-versicolor,Pune,27.0
68,5.8,2.7,4,1.0,Iris-versicolor,Pune,19.683000000000003
69,6.2,2.2,4,1.5,Iris-versicolor,Pune,10.648000000000003
70,5.6,2.5,3,1.1,Iris-versicolor,Pune,15.625
71,5.9,3.2,4,1.8,Iris-versicolor,Pune,32.76800000000001
72,6.1,2.8,4,1.3,Iris-versicolor,Pune,21.951999999999995
73,6.3,2.5,4,1.5,Iris-versicolor,Pune,15.625
74,6.1,2.8,4,1.2,Iris-versicolor,Pune,21.951999999999995
75,6.4,2.9,4,1.3,Iris-versicolor,Pune,24.389
76,6.6,3.0,4,1.4,Iris-versicolor,Pune,27.0
77,6.8,2.8,4,1.4,Iris-versicolor,Pune,21.951999999999995
78,6.7,3.0,5,1.7,Iris-versicolor,Pune,27.0
79,6.0,2.9,4,1.5,Iris-versicolor,Pune,24.389
80,5.7,2.6,3,1.0,Iris-versicolor,Pune,17.576
81,5.5,2.4,3,1.1,Iris-versicolor,Pune,13.823999999999998
82,5.5,2.4,3,1.0,Iris-versicolor,Pune,13.823999999999998
83,5.8,2.7,3,1.2,Iris-versicolor,Pune,19.683000000000003
84,6.0,2.7,5,1.6,Iris-versicolor,Pune,19.683000000000003
85,5.4,3.0,4,1.5,Iris-versicolor,Pune,27.0
86,6.0,3.4,4,1.6,Iris-versicolor,Pune,39.303999999999995
87,6.7,3.1,4,1.5,Iris-versicolor,Pune,29.791000000000004
88,6.3,2.3,4,1.3,Iris-versicolor,Pune,12.166999999999998
89,5.6,3.0,4,1.3,Iris-versicolor,Pune,27.0
90,5.5,2.5,4,1.3,Iris-versicolor,Pune,15.625
91,5.5,2.6,4,1.2,Iris-versicolor,Pune,17.576
92,6.1,3.0,4,1.4,Iris-versicolor,Pune,27.0
93,5.8,2.6,4,1.2,Iris-versicolor,Pune,17.576
94,5.0,2.3,3,1.0,Iris-versicolor,Pune,12.166999999999998
95,5.6,2.7,4,1.3,Iris-versicolor,Pune,19.683000000000003
96,5.7,3.0,4,1.2,Iris-versicolor,Pune,27.0
97,5.7,2.9,4,1.3,Iris-versicolor,Pune,24.389
98,6.2,2.9,4,1.3,Iris-versicolor,Pune,24.389
99,5.1,2.5,3,1.1,Iris-versicolor,Pune,15.625
100,5.7,2.8,4,1.3,Iris-versicolor,Pune,21.951999999999995
101,6.3,3.3,6,2.5,Iris-virginica,Pune,35.937
102,5.8,2.7,5,1.9,Iris-virginica,Pune,19.683000000000003
103,7.1,3.0,5,2.1,Iris-virginica,Pune,27.0
104,6.3,2.9,5,1.8,Iris-virginica,Pune,24.389
105,6.5,3.0,5,2.2,Iris-virginica,Pune,27.0
106,7.6,3.0,6,2.1,Iris-virginica,Pune,27.0
107,4.9,2.5,4,1.7,Iris-virginica,Pune,15.625
108,7.3,2.9,6,1.8,Iris-virginica,Pune,24.389
109,6.7,2.5,5,1.8,Iris-virginica,Pune,15.625
110,7.2,3.6,6,2.5,Iris-virginica,Pune,46.656000000000006
111,6.5,3.2,5,2.0,Iris-virginica,Pune,32.76800000000001
112,6.4,2.7,5,1.9,Iris-virginica,Pune,19.683000000000003
113,6.8,3.0,5,2.1,Iris-virginica,Pune,27.0
114,5.7,2.5,5,2.0,Iris-virginica,Pune,15.625
115,5.8,2.8,5,2.4,Iris-virginica,Pune,21.951999999999995
116,6.4,3.2,5,2.3,Iris-virginica,Pune,32.76800000000001
117,6.5,3.0,5,1.8,Iris-virginica,Pune,27.0
118,7.7,3.8,6,2.2,Iris-virginica,Pune,54.87199999999999
119,7.7,2.6,6,2.3,Iris-virginica,Pune,17.576
120,6.0,2.2,5,1.5,Iris-virginica,Pune,10.648000000000003
121,6.9,3.2,5,2.3,Iris-virginica,Pune,32.76800000000001
122,5.6,2.8,4,2.0,Iris-virginica,Pune,21.951999999999995
123,7.7,2.8,6,2.0,Iris-virginica,Pune,21.951999999999995
124,6.3,2.7,4,1.8,Iris-virginica,Pune,19.683000000000003
125,6.7,3.3,5,2.1,Iris-virginica,Pune,35.937
126,7.2,3.2,6,1.8,Iris-virginica,Pune,32.76800000000001
127,6.2,2.8,4,1.8,Iris-virginica,Pune,21.951999999999995
128,6.1,3.0,4,1.8,Iris-virginica,Pune,27.0
129,6.4,2.8,5,2.1,Iris-virginica,Pune,21.951999999999995
130,7.2,3.0,5,1.6,Iris-virginica,Pune,27.0
131,7.4,2.8,6,1.9,Iris-virginica,Pune,21.951999999999995
132,7.9,3.8,6,2.0,Iris-virginica,Pune,54.87199999999999
133,6.4,2.8,5,2.2,Iris-virginica,Pune,21.951999999999995
134,6.3,2.8,5,1.5,Iris-virginica,Pune,21.951999999999995
135,6.1,2.6,5,1.4,Iris-virginica,Pune,17.576
136,7.7,3.0,6,2.3,Iris-virginica,Pune,27.0
137,6.3,3.4,5,2.4,Iris-virginica,Pune,39.303999999999995
138,6.4,3.1,5,1.8,Iris-virginica,Pune,29.791000000000004
139,6.0,3.0,4,1.8,Iris-virginica,Pune,27.0
140,6.9,3.1,5,2.1,Iris-virginica,Pune,29.791000000000004
141,6.7,3.1,5,2.4,Iris-virginica,Pune,29.791000000000004
142,6.9,3.1,5,2.3,Iris-virginica,Pune,29.791000000000004
143,5.8,2.7,5,1.9,Iris-virginica,Pune,19.683000000000003
144,6.8,3.2,5,2.3,Iris-virginica,Pune,32.76800000000001
145,6.7,3.3,5,2.5,Iris-virginica,Pune,35.937
146,6.7,3.0,5,2.3,Iris-virginica,Pune,27.0
147,6.3,2.5,5,1.9,Iris-virginica,Pune,15.625
148,6.5,3.0,5,2.0,Iris-virginica,Pune,27.0
149,6.2,3.4,5,2.3,Iris-virginica,Pune,39.303999999999995
150,5.9,3.0,5,1.8,Iris-virginica,Pune,27.0
